# time=2019-03-06T12:15:00Z
lat,lon,pressure,ff,dd
36.673721,19.034874,42300.0,23.47,291
36.141495,18.224869,44800.0,25.21,287
36.826283,18.533312,46300.0,23.17,289
36.131916,18.700716,44400.0,25.14,291
37.090488,15.41045,43700.0,16.04,270
36.97324,15.452792,46000.0,17.05,267
35.484966,17.013351,44400.0,24.44,292
36.725086,18.619747,42200.0,23.05,289
37.013451,15.883231,46500.0,16.97,267
37.194031,15.752675,42300.0,15.83,270
37.333313,5.899788,43700.0,25.63,257
38.087078,6.2222,41600.0,29.76,251
37.515202,5.937624,41300.0,27.29,254
37.251556,15.262358,45400.0,13.17,273
37.36124,5.815623,43600.0,26.29,255
37.062912,16.210745,42800.0,16.75,269
36.307327,17.164593,44700.0,25.26,282
36.028046,17.601919,41900.0,24.62,280
35.898449,18.31485,41000.0,24.79,292
44.972404,-28.466984,44700.0,75.14,289
44.984283,-28.517839,44900.0,75.79,288
44.521141,-39.294678,40900.0,80.29,268
39.643539,-41.893803,44300.0,48.08,264
39.452564,-41.675083,45700.0,44.32,261
35.982422,-12.371471,45000.0,25.97,306
44.982147,-28.41258,44200.0,71.78,293
44.968647,-28.395235,43800.0,67.37,286
44.514778,-39.205185,40800.0,78.69,269
44.518085,-39.17379,40600.0,78.56,269
39.435394,6.203613,40400.0,31.03,243
38.6203,5.985758,43300.0,31.28,249
37.808205,5.967144,41100.0,30.02,251
37.601986,6.028688,44500.0,26.85,254
37.635933,5.811483,40700.0,27.69,253
37.615837,5.823273,40900.0,27.49,256
37.157368,15.305547,44400.0,15.17,270
36.818832,17.664631,44000.0,23.79,284
36.977726,15.475942,46100.0,15.25,268
36.032211,-12.260243,43900.0,25.89,309
36.169662,-12.426084,46200.0,27.21,307
36.768078,17.68738,44100.0,21.73,288
36.765133,17.743122,45200.0,23.59,285
36.226013,19.055618,44500.0,24.24,292
36.000156,-12.249784,45400.0,26.01,311
36.297569,18.908522,46100.0,25.22,293
35.930725,17.855764,41800.0,24.8,282
36.185791,19.143364,44000.0,22.55,299
35.604176,-12.379139,44600.0,24.66,304
35.621521,-12.357306,44400.0,26.38,302
35.780609,-12.250439,46100.0,24.54,307
35.771797,17.609282,41900.0,25.04,281
36.11776,19.045397,43000.0,23.98,295
36.153427,19.162119,43500.0,24.15,296
35.761967,19.765619,46400.0,23.32,293
57.997875,-2.657448,38600.0,28.19,195
53.3013,-5.325455,40200.0,30.82,203
53.316467,-6.09499,40100.0,30.54,203
52.470276,-6.616126,41300.0,30.4,206
48.035358,-6.076884,38700.0,45.13,216
41.019638,4.240642,39300.0,46.32,229
37.169075,15.179958,44900.0,15.33,271
36.252605,17.45739,44300.0,24.87,278
35.636032,19.044334,41900.0,25.49,291
35.651241,19.097755,42200.0,25.21,294
35.669701,19.203085,43300.0,25.36,295
35.573929,18.69013,37800.0,24.73,290
35.997452,19.194212,42200.0,26.15,290
35.734669,17.319109,42100.0,24.18,288
36.335793,6.454766,45200.0,27.62,269
53.416267,-5.900249,40100.0,31.52,200
53.451496,-5.137005,39400.0,34.29,200
52.848724,-6.708769,41400.0,29.57,204
52.974525,-6.324009,43100.0,30.34,202
53.501091,-3.222383,43300.0,34.4,204
51.498158,-4.812831,46500.0,38.97,209
51.778831,-4.761259,45800.0,37.01,211
51.458275,-4.772734,45900.0,39.61,213
51.747681,-4.291781,45900.0,37.95,212
43.345314,-24.464693,40300.0,116.92,314
46.827301,49.466496,38300.0,33.0,241
36.073097,17.971029,41200.0,25.46,286
35.745613,19.363054,46100.0,25.77,294
35.650295,18.988735,39000.0,23.55,294
52.562115,-5.47215,45400.0,31.03,204
53.088081,-6.537098,43700.0,30.42,202
52.793125,-6.679326,41300.0,30.47,203
43.869812,-24.089352,44600.0,123.43,314
44.026817,27.825977,44900.0,48.47,286
38.332966,39.963104,41700.0,33.29,294
44.333168,35.196884,37800.0,45.19,238
59.744743,20.573828,42600.0,36.58,292
52.752617,-5.957044,46000.0,31.48,207
52.26738,-6.795661,41300.0,29.91,201
49.344795,46.585716,41700.0,63.63,244
37.46529,15.453766,44300.0,16.34,271
36.459736,38.056152,41000.0,29.56,307
43.988113,-23.691399,38500.0,125.93,315
40.277924,-40.068863,40200.0,38.81,264
39.057449,-39.73431,44500.0,38.67,270
53.749374,-5.557889,38700.0,33.63,202
36.229454,19.38312,44100.0,25.57,294
35.675377,18.856155,40500.0,25.49,289
58.514393,21.386305,45500.0,27.6,279
42.5247,-23.058441,39000.0,119.44,311
36.12669,18.485468,45300.0,26.21,286
38.272659,-39.274784,45500.0,35.22,272
58.398239,21.913645,45700.0,37.72,280
57.679684,-6.646595,37800.0,13.83,176
44.290272,27.339546,39500.0,37.43,273
47.8321,50.406307,38600.0,36.46,241
40.121086,-40.413139,41600.0,39.91,261
39.013901,-39.880432,44600.0,38.75,266
35.59026,16.6434,41000.0,25.05,283
58.488667,21.548203,45400.0,36.45,278
51.083214,-4.770905,46000.0,41.45,214
40.039646,-40.740303,42700.0,38.99,262
35.691223,18.17293,38400.0,24.74,284
53.362427,-5.663162,40200.0,30.77,202
51.620346,-4.833872,45900.0,37.55,210
37.009674,15.889807,40500.0,16.19,272
60.031059,19.691708,46300.0,40.41,290
59.778019,20.581326,43200.0,37.32,290
59.901325,20.029812,44700.0,38.95,287
59.075111,21.679155,43300.0,37.81,285
57.876617,-6.851378,38200.0,15.67,181
54.042381,-3.920104,38500.0,31.32,208
44.419052,-23.934002,38100.0,127.93,314
40.115555,-40.220016,41700.0,38.51,263
38.640499,-39.628216,45300.0,36.03,273
51.246494,38.459053,44900.0,22.64,294
46.884678,0.842865,37800.0,63.73,209
37.394859,15.850088,40700.0,15.39,271
37.076717,18.853909,43500.0,22.81,289
36.888916,19.691387,38800.0,24.1,296
36.616146,19.915771,45800.0,26.05,296
36.748131,20.262314,46400.0,25.83,298
36.673504,19.175518,40200.0,23.78,290
36.247501,19.766085,45300.0,25.39,296
37.729385,-4.455945,46400.0,67.32,230
59.772701,20.595701,43200.0,37.15,291
36.292118,19.095224,45000.0,25.23,291
38.917938,-40.141525,45100.0,40.29,274
53.473518,-3.240642,43200.0,34.58,203
38.676113,-39.378193,44700.0,34.79,277
38.999348,-40.390606,45400.0,39.99,273
37.66058,34.453499,43100.0,33.34,277
60.036488,19.724228,46200.0,40.07,293
57.198391,-7.653964,41500.0,15.79,161
52.847172,-6.447687,42600.0,30.73,203
51.584049,39.985233,45200.0,27.41,291
49.863049,1.951602,38300.0,63.1,213
36.795776,37.887856,38500.0,30.64,307
52.530083,-6.099563,44000.0,32.2,209
47.200798,50.159294,38500.0,32.84,242
40.828121,-25.586107,42600.0,61.07,306
39.910866,-41.345833,42100.0,41.02,258
37.324909,16.242006,38600.0,15.51,274
58.15089,-6.445319,37800.0,18.5,187
57.789459,-7.191055,39800.0,16.01,180
52.823479,-24.906984,41800.0,34.72,281
53.888302,-2.571592,40700.0,44.76,202
49.413982,0.572232,39400.0,57.54,213
47.586418,31.28046,39900.0,24.64,269
47.426865,31.203163,40000.0,25.27,267
49.502159,0.493283,39200.0,57.99,208
48.481224,1.136191,38500.0,60.24,211
47.95895,-3.545993,38400.0,63.16,213
