# time=2019-03-06T12:30:00Z
lat,lon,pressure,ff,dd
33.984173,27.486708,84700.0,13.42,254
36.007717,-7.479185,84400.0,38.46,256
38.13868,-12.460615,85500.0,26.92,306
37.196674,-11.014626,87000.0,26.48,307
30.815533,-16.070311,87000.0,14.99,342
29.257378,-17.180502,85100.0,14.21,354
27.21096,-14.169593,85300.0,14.67,336
30.654518,-16.342003,85800.0,16.31,340
30.617849,-16.181692,85400.0,16.49,341
30.4937,-16.497389,85900.0,18.7,342
29.896124,-14.33851,88400.0,17.64,340
29.690767,-15.107195,85300.0,16.42,335
29.754284,-14.206304,87300.0,16.59,333
29.373802,-17.041363,85500.0,13.91,354
29.233978,-17.416367,86900.0,15.24,353
29.288927,-15.837555,85100.0,15.78,341
29.404152,-15.508679,86400.0,16.48,338
29.067343,-15.699243,86400.0,16.24,342
28.829781,-14.95868,88500.0,16.12,336
28.764557,-14.725267,86800.0,16.37,334
28.939734,-17.328501,84600.0,14.07,359
44.286144,-13.789212,85000.0,40.84,322
44.096672,-13.347015,85600.0,42.0,323
44.09362,-12.945729,84400.0,44.56,322
40.248009,-14.428249,85500.0,38.99,314
40.110996,-14.575923,84700.0,37.09,315
30.814493,-16.46553,86500.0,15.33,338
31.497633,-10.778129,85500.0,13.26,266
30.22234,-18.739773,86100.0,14.78,355
30.28006,-18.923567,90700.0,16.46,355
30.003519,-18.699409,87500.0,14.72,358
29.715652,-14.114252,84500.0,15.61,335
29.836353,-18.805119,90300.0,15.41,358
29.688745,-18.900759,91100.0,14.67,0
29.621208,-19.666996,88200.0,16.09,3
29.544529,-19.147835,90100.0,18.24,2
29.568647,-18.156309,86900.0,13.12,4
29.64826,-17.974869,84700.0,14.34,353
29.498098,-18.362787,90300.0,16.93,5
29.480074,-19.303955,89600.0,18.92,1
29.299612,-17.828445,86300.0,11.36,351
28.323137,-18.746025,89100.0,17.37,16
27.492184,-20.16684,85400.0,19.01,15
27.376024,-14.00632,84700.0,15.9,332
38.635975,-13.2946,87100.0,32.9,308
30.373425,-19.038292,85400.0,16.8,354
29.896099,-14.188549,84600.0,15.29,336
29.835983,-19.877731,86100.0,17.19,352
29.685368,-19.806637,87200.0,15.03,360
29.91991,-17.549488,84700.0,14.42,350
29.750372,-18.463894,86300.0,14.28,357
29.77512,-18.220181,86000.0,14.46,356
29.371023,-15.113605,87600.0,17.16,335
29.49122,-14.234697,91100.0,16.03,336
