# time=2019-03-06T13:00:00Z
lat,lon,pressure,ff,dd
37.038319,-10.773397,89300.0,25.11,307
30.675407,-16.041985,85800.0,17.82,343
29.595978,-15.818121,86500.0,16.36,340
29.471867,-15.968465,86600.0,16.83,341
29.122259,-17.153734,85200.0,14.6,356
27.078777,-14.085421,84800.0,14.28,335
30.518661,-16.316042,90400.0,17.31,344
29.757574,-14.281305,85300.0,16.11,339
29.52656,-15.558687,85000.0,15.5,338
29.553705,-15.016574,86200.0,15.35,333
29.615437,-14.116392,85800.0,16.08,338
29.238441,-17.014645,86200.0,14.9,352
29.098406,-17.388885,85900.0,14.5,351
29.266945,-15.417363,86300.0,17.47,343
28.692785,-14.869003,87500.0,16.71,341
28.628742,-14.63683,86800.0,16.27,341
44.003216,-13.468505,84600.0,42.24,322
35.743053,-14.818108,84900.0,24.48,318
31.87912,-17.287514,84900.0,16.55,347
30.67355,-16.435934,84600.0,17.56,342
30.140608,-18.890577,89500.0,15.07,360
30.015263,-17.640947,85000.0,17.14,344
29.866959,-18.702888,87000.0,13.39,2
29.699934,-18.808504,89000.0,16.92,2
29.553389,-18.904797,91300.0,16.65,2
29.409811,-19.151999,90000.0,17.3,360
29.434025,-18.161888,88800.0,17.27,3
29.364056,-18.402079,90700.0,16.8,8
29.345276,-19.307814,88700.0,19.09,2
29.245768,-18.777014,86900.0,15.79,9
29.010275,-21.110926,85300.0,16.95,12
29.103771,-19.024435,86900.0,16.9,6
28.192905,-18.787144,91100.0,22.19,13
27.361357,-20.205551,84800.0,17.65,20
27.244104,-13.922498,84400.0,16.7,333
45.024078,-12.771103,85100.0,41.78,325
40.406338,-14.434605,86200.0,37.73,315
40.142216,-14.349836,84600.0,37.24,314
35.541889,-14.359624,87200.0,24.53,317
30.234707,-19.005674,84700.0,16.37,356
30.08391,-19.787672,84400.0,17.08,350
30.133795,-19.311275,84600.0,15.92,354
29.699383,-19.84539,86600.0,17.29,351
29.233395,-15.022844,86400.0,17.94,341
29.353148,-14.178111,88900.0,17.16,341
29.242628,-18.439302,87600.0,16.23,12
28.99958,-14.776715,88000.0,16.74,339
29.163273,-19.136559,88300.0,17.77,4
28.727198,-18.976782,87200.0,17.32,6
28.775478,-18.764633,87300.0,17.26,5
28.74427,-18.605433,87300.0,15.5,13
28.278816,-18.934141,88200.0,18.76,11
28.460047,-18.583973,88000.0,15.32,18
28.264938,-18.848377,89500.0,21.17,11
28.187704,-18.780062,91400.0,22.14,11
27.995094,-18.767275,91600.0,22.24,11
27.565695,-19.735327,84900.0,19.82,8
27.521034,-20.663326,89500.0,17.12,20
27.376837,-20.233746,89900.0,17.22,19
27.401329,-19.998453,89500.0,17.47,16
27.412407,-19.753025,90200.0,18.06,14
27.388374,-19.819565,90000.0,17.65,16
27.410686,-19.707159,89700.0,17.85,16
27.251249,-14.004794,85100.0,17.04,329
27.271233,-20.267252,84600.0,17.81,22
27.311255,-19.989334,89400.0,17.31,23
27.274353,-19.77486,90100.0,17.12,17
26.357487,-21.852938,85700.0,17.58,30
25.952791,-20.324451,88000.0,17.42,26
26.1099,-21.69496,86700.0,16.98,33
25.839516,-20.37393,86100.0,16.93,31
25.755745,-20.175497,85600.0,16.68,30
25.657072,-21.916235,86100.0,16.87,31
48.23241,-14.638633,86100.0,36.9,314
47.969002,-14.816298,85500.0,34.84,314
47.73093,-14.885458,85000.0,34.2,315
47.229637,-14.067779,84400.0,34.97,318
45.995701,-12.786427,84600.0,40.47,327
44.142117,-13.805112,85100.0,41.83,323
44.523899,-14.872535,87200.0,33.61,319
44.389038,-14.595137,86300.0,33.64,321
43.321682,-14.37394,86500.0,34.46,317
43.313431,-16.057053,85400.0,32.44,310
42.459259,-16.937916,92200.0,30.12,304
41.770638,-16.542814,88300.0,29.45,308
41.178967,-16.151608,87600.0,31.52,311
40.755596,-15.929593,89200.0,31.56,311
40.494629,-15.457051,84400.0,32.21,314
40.77549,-15.546848,86900.0,32.87,313
32.59589,-22.455574,85200.0,14.57,350
27.178587,-13.620703,84400.0,16.28,340
27.307409,-13.70134,84600.0,18.44,335
47.695068,-14.612768,84900.0,35.15,315
47.226864,-14.521586,84700.0,34.82,317
45.479118,-12.903803,85200.0,40.4,326
44.766438,-15.888265,88100.0,33.33,315
44.263779,-14.28443,86300.0,41.57,322
44.195004,-14.801857,87400.0,33.15,317
43.971687,-14.521692,87200.0,33.84,319
41.306065,-16.371376,87800.0,32.34,310
40.965908,-16.336317,89400.0,32.37,311
40.755836,-15.630836,87600.0,31.98,313
37.072735,-10.867435,87300.0,29.33,307
32.860783,-22.869501,87200.0,14.72,350
32.756821,-22.533657,84500.0,14.59,346
32.657814,-22.895189,87800.0,14.57,351
32.358967,-23.853018,84500.0,11.9,347
30.953863,-10.485116,86100.0,12.92,266
30.71628,-10.745195,84900.0,12.1,288
29.208727,-19.1038,87000.0,16.88,6
26.695337,-19.883192,88800.0,17.39,23
48.39579,-14.872504,85400.0,36.41,313
48.62928,-16.089388,85400.0,33.04,309
48.351765,-17.02142,84600.0,31.01,302
48.17659,-16.813755,84400.0,31.04,302
46.771198,-13.703877,85100.0,35.1,322
30.672939,-10.796453,84900.0,12.44,288
30.083794,-28.675716,84400.0,12.1,24
29.924107,-28.748911,84500.0,12.6,25
27.143755,-13.612503,86300.0,16.86,345
