# time=2019-03-06T13:00:00Z
lat,lon,pressure,ff,dd
33.99025,27.608568,83700.0,13.72,260
33.383331,27.136812,80500.0,12.82,272
33.883694,27.357969,82000.0,14.11,265
33.309242,26.14266,82900.0,14.03,275
33.318581,26.445974,82700.0,14.21,274
33.20208,26.645615,80900.0,13.22,272
32.67532,26.073183,82800.0,13.86,273
32.627602,26.192177,81700.0,13.35,272
34.112392,26.240662,83000.0,15.4,274
34.076275,26.390018,82900.0,14.98,272
34.044685,26.872568,82200.0,16.19,265
34.026505,27.129642,81900.0,16.73,262
33.955593,26.231762,82800.0,14.85,272
33.966572,26.613043,82600.0,14.77,270
33.58749,25.848465,82900.0,14.41,275
33.532959,26.694452,82600.0,13.71,270
50.498882,27.936596,83300.0,17.15,313
50.495575,27.99419,83500.0,16.29,314
50.319675,27.103369,80400.0,20.59,316
34.572605,29.799999,80300.0,13.99,263
32.576458,26.204733,81900.0,13.18,268
34.546112,29.766029,81700.0,13.82,263
34.553688,29.783237,80300.0,14.34,263
33.589817,26.858315,81900.0,14.42,267
51.312,27.389523,80300.0,18.95,312
37.038319,-10.773397,89300.0,25.11,307
32.891335,-13.308523,82600.0,19.92,321
32.866688,-14.640466,80100.0,17.16,326
32.727104,-15.222788,81100.0,18.56,329
32.652843,-13.043704,80300.0,19.03,308
32.519478,-13.17545,81000.0,18.33,323
32.32196,-13.184147,81000.0,18.56,325
31.161966,-13.018541,80300.0,14.83,319
30.847149,-14.722378,80400.0,15.16,325
30.675407,-16.041985,85800.0,17.82,343
30.67511,-15.518278,81800.0,17.85,343
30.37174,-15.039879,82300.0,15.07,336
29.595978,-15.818121,86500.0,16.36,340
29.471867,-15.968465,86600.0,16.83,341
29.23744,-16.665953,82000.0,14.3,347
29.122259,-17.153734,85200.0,14.6,356
27.078777,-14.085421,84800.0,14.28,335
37.173744,-11.636273,80700.0,30.1,312
34.273743,-11.612249,81300.0,20.68,288
32.830563,-13.104943,80100.0,19.2,311
32.751556,-14.955258,80700.0,17.79,330
32.650181,-15.054158,82300.0,19.07,333
32.588924,-14.816157,80400.0,18.3,332
32.03405,-15.552301,80400.0,19.03,328
32.482788,-13.32569,80600.0,17.07,326
32.233479,-13.233238,80600.0,17.13,327
30.635397,-15.177641,80900.0,16.91,342
30.609028,-14.877183,81500.0,14.16,335
30.59697,-14.810623,81700.0,15.15,335
30.776197,-13.430079,83100.0,18.35,330
30.248507,-15.219722,81500.0,14.09,336
30.278522,-14.915317,83500.0,15.32,337
30.132681,-14.629134,84100.0,18.07,341
30.015486,-15.193686,81500.0,15.16,335
