# time=2019-03-06T12:45:00Z
lat,lon,pressure,ff,dd
48.199928,11.765928,23700.0,42.09,254
36.933662,-25.353758,22200.0,69.72,314
35.709091,-22.824417,21300.0,73.15,320
36.206963,-23.994801,20800.0,76.51,318
36.56377,-24.92411,21400.0,69.59,315
35.775131,-23.831154,21000.0,74.71,317
35.024921,-23.043816,21400.0,74.85,320
35.826115,-23.612213,21100.0,76.65,318
35.137577,-21.760565,23600.0,60.78,321
38.380898,5.033552,23600.0,39.58,241
35.845814,2.316492,22900.0,60.41,242
34.914318,0.628649,22800.0,62.93,237
48.451744,15.446747,22900.0,57.29,293
48.165886,10.959777,23800.0,41.37,258
43.662342,15.292316,23800.0,46.83,313
43.047009,14.981607,20800.0,43.15,312
46.694748,9.658236,23300.0,41.92,259
42.941063,8.78185,22500.0,37.92,247
36.852562,-26.650354,23700.0,59.91,312
36.559299,-24.849669,21700.0,68.88,315
35.775101,-25.797348,20600.0,58.14,317
38.616188,4.815913,23000.0,42.14,240
38.342876,4.749263,23100.0,42.08,242
38.719166,4.455537,23000.0,42.54,239
36.252926,2.402226,22600.0,59.8,241
35.022655,0.744017,22900.0,62.37,238
48.790062,15.047738,22100.0,57.87,291
35.506985,1.708695,22600.0,62.91,241
35.623253,-25.227737,21200.0,57.64,322
35.590206,-24.70907,21200.0,64.18,320
35.596424,-25.506508,23000.0,55.37,322
39.510361,5.063925,23400.0,40.13,239
39.101196,4.56004,23400.0,46.0,235
38.30814,4.683219,23800.0,40.99,241
35.58353,2.03202,22700.0,62.21,241
47.276222,9.887749,23600.0,44.67,257
47.339714,9.665665,23100.0,45.51,257
35.99522,-23.496632,21000.0,77.9,319
35.911747,-26.235472,22100.0,54.37,317
48.15543,15.519816,22600.0,65.44,297
43.544918,15.116564,23000.0,46.3,310
47.123398,9.746373,23000.0,45.55,258
44.430283,11.625183,18900.0,41.51,271
36.331547,-24.803848,21800.0,71.06,315
36.126232,-25.696768,21600.0,61.81,321
36.054905,-25.270817,21800.0,61.53,317
35.79335,-24.71151,21200.0,63.19,317
36.079472,-26.071915,20900.0,57.76,317
35.348186,-24.376469,21400.0,66.09,324
36.100487,2.233152,23700.0,60.82,239
35.930038,2.123513,23600.0,61.89,240
35.961609,2.229496,23000.0,60.11,240
35.361492,1.04766,23000.0,60.0,237
35.107792,0.929024,23000.0,61.97,239
44.317966,-35.323441,23000.0,107.24,284
35.611862,1.586383,23200.0,62.36,240
35.700108,-25.857689,22400.0,54.55,317
47.758366,8.243123,23800.0,46.89,249
44.017166,-35.942673,22700.0,95.63,288
43.877373,-35.808018,22700.0,98.3,289
43.544617,-35.743645,22200.0,95.75,283
43.52293,-36.212318,22800.0,87.78,287
36.684032,-25.262131,21700.0,69.28,315
38.755844,4.737091,23000.0,41.78,237
44.063503,-36.048607,22700.0,98.31,289
43.633873,-36.328476,23200.0,90.04,287
35.777706,3.301071,23700.0,57.58,248
35.751755,3.516137,23800.0,57.36,248
44.637115,-35.614422,23300.0,103.24,283
35.970001,-24.683382,21300.0,69.16,314
35.183182,-21.65391,23300.0,68.09,323
36.189663,-26.220093,21500.0,57.87,316
36.366982,-24.802181,21100.0,75.02,316
33.231594,-1.478802,23300.0,62.27,232
35.740891,-22.884573,21400.0,72.97,320
35.606194,-22.759783,21700.0,71.77,321
36.943737,-26.196648,23400.0,61.95,312
49.308132,11.890498,23100.0,43.01,265
48.463104,15.282123,22200.0,61.13,290
44.669651,-35.74678,23000.0,105.75,283
35.343338,-23.59124,21200.0,74.91,318
35.760612,-23.336889,21300.0,74.53,320
36.358158,-26.182655,21800.0,58.13,321
48.448818,15.507256,22700.0,59.61,289
44.080479,7.153757,19400.0,45.52,246
35.121746,-23.01523,21500.0,75.17,320
35.780857,-26.762743,22700.0,47.59,316
47.813843,14.715153,23000.0,61.0,292
46.797253,9.285059,23300.0,43.11,257
44.753883,7.040482,21900.0,47.67,244
44.556862,6.922097,21300.0,46.8,244
44.355427,7.132276,20600.0,46.59,244
43.68071,-35.464729,22000.0,101.59,285
37.803886,-25.883087,23500.0,69.81,314
36.801037,-26.349211,23200.0,61.51,313
35.530453,-26.98229,21600.0,46.58,314
35.167995,0.788899,23100.0,60.56,238
36.058712,-26.351757,21900.0,54.55,317
36.033089,-26.031137,21500.0,55.16,317
48.200558,11.344479,23700.0,42.64,262
47.606232,6.937928,21800.0,45.4,237
47.300808,7.070351,21900.0,48.02,240
36.382278,-25.191591,22500.0,66.82,316
35.74411,-23.971201,21100.0,71.49,316
35.277073,-23.025415,21400.0,72.96,320
36.601688,-26.468266,22200.0,58.87,321
35.036911,-22.356054,21900.0,70.51,322
38.474159,4.600739,23500.0,42.67,238
48.421837,17.366867,22600.0,73.66,305
46.81572,9.682431,23800.0,41.44,262
44.223976,6.90289,20300.0,47.93,244
41.20723,8.532593,20800.0,32.69,247
37.030655,-24.847582,21200.0,74.62,316
35.991287,-23.404469,21100.0,75.31,320
35.528774,-26.953621,22700.0,46.65,314
35.678398,-27.0124,21800.0,45.76,314
48.543518,17.109444,22500.0,74.05,305
47.082066,9.033648,23500.0,43.57,252
44.062481,14.934518,22900.0,45.69,305
44.12788,6.720687,21600.0,45.86,243
36.490788,-24.785784,21000.0,78.22,316
35.00898,0.51305,23200.0,62.7,236
31.63645,-2.076204,22900.0,56.33,230
47.361866,7.625247,23000.0,44.01,238
43.635414,14.919274,22400.0,42.98,307
37.770504,-25.797298,23000.0,70.34,314
35.607155,-22.429052,21900.0,71.21,322
48.164627,11.624658,23800.0,46.05,260
43.868656,-35.906601,22500.0,94.09,289
36.150902,-24.708887,21200.0,72.93,316
35.636639,-22.836029,21700.0,71.88,321
35.560429,-24.319281,21400.0,63.37,317
48.479652,17.345757,22600.0,71.53,305
48.491943,17.442905,22500.0,70.3,306
48.720219,12.926882,21900.0,42.83,267
45.350201,11.306895,23500.0,47.03,269
44.171825,11.448317,22300.0,40.39,275
43.973087,-35.554543,22500.0,98.67,285
36.132294,-23.617386,20900.0,77.2,319
36.289776,-23.75918,20800.0,79.62,319
35.75819,2.00625,23100.0,62.69,241
48.530041,17.337378,22600.0,72.52,306
48.458912,17.34428,22600.0,73.05,306
48.154072,17.348358,21100.0,69.64,310
48.085945,14.762417,22900.0,62.43,290
48.141045,11.446491,23800.0,41.07,257
47.531223,8.740092,23500.0,45.2,251
47.248482,6.491308,22500.0,44.51,239
46.211494,13.023567,23600.0,47.04,282
45.920116,13.092148,22800.0,46.73,280
45.126949,11.05332,23800.0,46.61,267
44.634205,11.362026,20500.0,42.57,271
44.516178,7.600936,23200.0,46.17,246
44.352276,6.591871,22200.0,47.13,243
40.35014,-28.671244,23400.0,90.2,313
39.340767,5.155358,22500.0,43.07,234
36.240303,-24.573801,20900.0,74.53,317
38.452442,4.553329,23700.0,42.78,238
38.523544,4.811968,23100.0,43.69,239
34.668213,0.015979,23700.0,63.0,235
