# time=2019-03-06T12:45:00Z
lat,lon,pressure,ff,dd
38.063,10.278471,14200.0,42.95,301
38.065262,10.061803,13400.0,41.15,298
38.127708,10.071855,14600.0,42.51,299
44.780266,13.519643,14300.0,44.95,292
44.539009,13.340327,13400.0,43.01,297
44.768761,13.047862,13400.0,45.42,291
45.110672,13.284598,13500.0,47.63,292
45.488277,13.006313,14600.0,46.31,281
44.617233,13.294812,13400.0,43.46,295
44.494968,13.999889,13700.0,43.52,297
44.268131,13.939486,13800.0,43.58,299
44.366077,13.818682,13500.0,44.01,295
43.887897,14.093095,13600.0,43.36,299
43.466747,13.303321,14300.0,41.98,304
43.757496,13.317936,14400.0,39.31,300
43.706596,13.569785,14600.0,41.29,304
43.95163,13.852419,14000.0,42.6,301
44.002232,13.303445,14300.0,38.15,297
44.236168,13.688196,13400.0,42.3,296
42.973114,14.66081,13900.0,42.05,319
45.202576,13.261589,13600.0,49.31,290
44.881496,13.189362,13400.0,47.29,295
44.695839,13.721253,13500.0,44.61,294
44.046593,13.891248,13400.0,44.07,299
37.860718,10.553011,13400.0,41.78,299
37.963913,10.001667,13400.0,38.38,290
44.218246,13.509313,13400.0,41.03,298
44.069538,13.156731,13400.0,39.59,299
43.702892,13.429613,14500.0,40.33,302
43.709335,13.109094,13800.0,39.5,298
43.074646,14.649758,13600.0,41.62,318
37.824657,10.567019,13400.0,42.12,300
37.824368,10.55924,13400.0,41.68,299
37.488712,10.480619,14400.0,37.13,293
44.323254,12.931846,13400.0,41.67,302
43.077507,14.543909,14100.0,40.05,317
42.835796,14.277501,14500.0,41.28,319
37.801666,10.517923,13400.0,40.91,299
37.672398,10.508039,14000.0,37.29,292
44.328655,13.726661,13400.0,43.57,296
43.86713,12.951481,13400.0,41.67,302
44.609058,13.050598,13400.0,43.7,297
44.419846,13.303444,13400.0,43.42,298
43.828262,13.856691,13400.0,43.07,306
43.108311,14.418934,14500.0,38.94,313
42.95277,14.406895,13800.0,40.78,316
37.759857,10.627101,13400.0,41.67,301
44.821686,14.176954,14200.0,41.52,295
37.997307,10.268951,12100.0,41.79,300
44.599434,13.039861,12100.0,43.92,292
44.927887,14.087853,14700.0,44.03,296
44.719135,13.613668,13400.0,44.43,293
44.980106,12.666365,12100.0,44.75,285
45.401306,13.226552,13500.0,48.73,292
38.056721,10.095025,12100.0,41.14,299
43.074673,14.837189,13200.0,42.86,317
38.084557,10.159039,12700.0,41.93,299
44.817532,13.116055,12100.0,45.47,289
44.562943,14.083881,12700.0,43.97,296
44.21212,14.213012,13700.0,43.9,298
43.018917,14.038607,13200.0,39.21,311
44.276279,13.900825,12700.0,43.84,296
45.266773,13.513528,12900.0,48.04,294
45.178215,13.609905,13000.0,47.15,296
44.655952,13.157681,12100.0,41.99,287
43.73032,14.374053,13100.0,42.64,299
45.062149,13.464093,12200.0,45.42,289
44.874252,13.284648,12100.0,42.7,288
43.273727,14.576498,14700.0,39.46,312
43.290123,-33.15638,14300.0,101.04,301
44.717575,12.759615,12100.0,43.02,283
43.667797,-32.537663,13700.0,107.56,301
43.473,13.399442,13600.0,40.36,306
44.387241,14.080256,13500.0,43.91,299
44.223774,13.324957,12100.0,41.59,293
44.106892,13.932629,12100.0,43.65,297
43.996269,13.874223,12900.0,41.31,299
43.820942,13.842267,12100.0,42.1,299
