# time=2019-03-06T12:30:00Z
lat,lon,pressure,ff,dd
30.28006,-18.923567,90700.0,16.46,355
29.836353,-18.805119,90300.0,15.41,358
29.688745,-18.900759,91100.0,14.67,0
29.544529,-19.147835,90100.0,18.24,2
29.498098,-18.362787,90300.0,16.93,5
29.49122,-14.234697,91100.0,16.03,336
28.127285,-18.727867,92700.0,18.32,15
27.543474,-19.714046,91300.0,18.96,11
27.519379,-19.780617,91100.0,19.71,11
27.541739,-19.668131,91000.0,19.44,10
27.40555,-19.736116,91700.0,19.03,11
42.645588,-17.241695,92200.0,30.14,308
33.017731,29.406424,92400.0,11.59,252
33.017853,29.406082,92400.0,10.99,252
27.856415,-20.936562,90100.0,17.88,15
27.400745,-19.433399,93500.0,20.61,15
33.220806,29.449667,92600.0,11.66,252
33.042229,29.393927,92400.0,11.82,251
42.829372,-17.325451,91500.0,27.9,307
33.041653,29.40008,92400.0,10.95,252
25.273369,-18.893034,92500.0,15.42,19
25.306364,-18.879841,92400.0,15.44,18
27.493597,-19.820093,91200.0,19.36,10
27.56938,-19.63031,91600.0,19.47,10
27.818453,-19.616961,91200.0,18.66,12
34.620243,34.733788,94900.0,10.81,241
29.945086,-18.809978,90400.0,15.76,358
27.51037,-19.436417,91900.0,20.81,12
26.790857,-18.342308,90700.0,17.98,11
27.115389,-19.854136,91600.0,17.98,16
26.637514,-18.327711,90400.0,16.65,17
34.631462,31.844095,93300.0,10.95,260
26.912201,-19.849478,91200.0,17.11,20
26.746035,-18.321447,90400.0,15.98,18
25.086168,-16.70788,91500.0,10.87,21
29.756538,-14.34341,90600.0,15.54,336
28.279869,-18.987566,91100.0,17.23,12
45.459808,-18.447073,90400.0,26.4,299
45.217556,-18.417883,90200.0,26.58,299
39.796776,-15.829135,91500.0,32.22,308
39.452187,-14.986065,91000.0,32.06,310
38.960915,-15.461052,92300.0,27.65,309
38.627499,-15.252802,90100.0,28.31,310
37.365833,-9.481894,92800.0,25.7,295
34.222031,34.141773,94400.0,11.76,258
34.207932,34.317383,94500.0,11.9,249
32.718361,28.591677,92300.0,10.63,247
27.864494,-18.822971,92300.0,20.95,11
27.967148,-18.761274,92600.0,19.89,12
27.325817,-18.99555,92400.0,21.92,10
27.53307,-19.485706,92100.0,20.94,12
27.325901,-18.994812,92400.0,22.01,10
25.256319,-19.015789,92400.0,15.47,20
25.229164,-18.974651,92500.0,15.49,20
25.239862,-18.967318,92400.0,15.44,20
25.239729,-18.966707,92400.0,15.43,18
39.223389,-15.011972,90400.0,30.0,311
37.528187,-9.255015,91500.0,25.71,295
