# time=2019-03-06T12:00:00Z
lat,lon,pressure,ff,dd
56.597389,23.260677,49700.0,28.44,290
50.899521,-24.903051,54500.0,26.08,278
56.225956,24.453089,54900.0,31.53,295
36.595207,18.729862,49100.0,26.04,285
53.76125,-10.163789,55900.0,18.52,333
37.665295,-33.741421,53000.0,34.95,291
39.18729,-41.018814,50500.0,37.15,260
56.191971,23.53392,52100.0,29.06,292
37.85511,-33.378201,53100.0,35.72,291
36.68961,19.427818,47400.0,22.53,287
52.566257,-2.7308,54000.0,43.93,205
39.701855,-41.520977,50000.0,41.82,260
39.067822,-41.315079,47700.0,46.55,256
53.435841,-10.389228,57100.0,20.74,331
36.861244,18.393974,47500.0,25.81,284
36.784164,18.431192,48500.0,26.26,283
36.606464,19.750891,47800.0,21.5,293
36.725193,18.606098,49500.0,25.98,285
36.76926,18.43704,49500.0,25.67,284
39.350243,-40.972012,51700.0,37.46,258
39.618141,-41.52655,47500.0,43.94,259
54.588013,-9.662878,56600.0,12.37,345
37.671463,-34.036987,56600.0,32.33,292
37.181019,6.232859,47000.0,27.49,255
36.772182,18.195112,47800.0,21.28,276
37.071033,6.438697,48600.0,27.41,255
37.017376,6.194424,47500.0,28.98,252
36.752155,18.210627,47200.0,26.92,278
39.274261,-41.483688,47300.0,47.22,257
39.225128,-40.936913,51900.0,36.27,260
54.692566,-30.556143,54000.0,22.61,237
37.175007,6.305219,46600.0,27.51,256
37.171074,6.646503,53000.0,26.44,258
37.072086,6.292687,49100.0,27.47,254
56.12228,23.700754,54600.0,32.51,290
54.511757,-10.163918,51100.0,19.52,347
54.183804,-29.91341,56600.0,21.72,239
41.623596,-18.486574,56400.0,31.18,306
37.173866,7.103146,49700.0,28.66,266
38.560982,-39.831329,49600.0,29.75,272
36.735786,18.090219,46600.0,26.84,278
36.682774,18.52026,49500.0,25.68,287
54.80164,-30.9401,54900.0,21.45,246
50.994324,-25.045174,54800.0,24.64,276
39.343254,-41.014969,50900.0,41.31,265
57.478119,22.349243,51800.0,29.78,299
56.317722,24.722555,52800.0,29.41,294
52.174568,-25.680206,49700.0,27.05,279
43.802761,30.899233,48000.0,26.84,288
43.721931,30.985453,49000.0,25.7,285
38.14922,-33.463783,56200.0,33.43,291
37.017433,5.927364,46600.0,27.79,254
36.094074,17.258722,47800.0,25.3,278
35.230747,15.472242,51700.0,28.61,283
35.252674,15.567462,53100.0,27.61,283
35.229935,15.368657,48000.0,29.71,280
56.173466,0.365866,57000.0,30.41,214
52.427475,-2.473471,55900.0,41.85,209
52.407425,-2.586663,55800.0,41.9,209
52.466969,-26.011045,49400.0,26.79,271
46.879845,30.780817,55200.0,24.36,268
45.017776,-5.986409,49700.0,40.55,216
42.321884,-9.202955,55100.0,36.87,277
41.459236,-18.332239,55800.0,29.69,306
39.952641,-20.620062,47100.0,32.16,302
40.282356,-25.291323,53400.0,50.46,313
38.98666,-40.867683,51100.0,39.68,264
39.125782,-40.903828,54300.0,38.24,263
38.658855,-39.487785,51800.0,32.55,272
39.118294,-41.028976,51000.0,39.12,262
39.035828,-41.044338,48400.0,37.34,258
56.146503,0.158645,57000.0,31.52,218
52.496105,-2.38618,54200.0,42.63,208
46.349339,-0.281641,49700.0,51.76,209
45.771839,0.63102,47500.0,49.94,207
45.950378,0.779936,47800.0,55.07,208
43.829918,28.847658,48800.0,35.45,284
39.760048,-21.515907,47900.0,40.57,314
39.878311,-20.368202,49700.0,31.8,305
39.677284,-40.992222,56800.0,42.38,267
37.096882,6.581259,55500.0,25.5,256
36.906315,5.916584,47100.0,29.06,252
36.347542,17.030321,49400.0,25.53,278
35.371368,15.488029,48800.0,27.87,283
35.395714,15.632075,51400.0,28.37,281
35.695297,16.482172,49100.0,26.31,282
53.282566,-6.352423,47300.0,30.54,202
51.175121,33.637539,56800.0,24.81,304
51.617802,-4.872242,47200.0,34.57,208
51.707943,-4.78607,46700.0,34.91,208
51.345543,-5.25492,48000.0,39.88,214
37.590572,-34.475193,53900.0,37.52,295
35.939323,21.685419,47400.0,25.4,305
36.297749,6.312122,46600.0,29.64,257
36.416702,6.544537,49500.0,27.87,259
56.872337,23.213345,47400.0,29.65,297
56.600929,24.617924,54700.0,30.24,299
52.880581,-6.377189,47700.0,29.44,204
39.198471,-36.550495,56100.0,39.54,285
37.711987,-34.10754,54400.0,30.59,289
37.103973,6.463302,48300.0,29.02,260
36.597023,-5.841841,50000.0,63.6,233
35.932518,21.593575,48600.0,27.87,294
56.250767,24.891678,56100.0,30.92,308
36.011158,16.559652,48600.0,27.09,274
56.414242,24.432123,54300.0,29.39,297
52.641281,-6.083669,47800.0,31.24,213
52.428921,-4.648567,48900.0,33.33,206
49.20504,46.176216,46600.0,62.07,243
36.898018,6.155421,47000.0,27.98,259
35.989975,21.03561,52500.0,28.0,290
49.966503,47.443874,46800.0,70.11,246
35.494164,20.325165,47200.0,26.99,293
51.091446,33.696419,56400.0,27.78,301
56.715584,23.077469,46600.0,29.71,297
38.503685,-33.628109,51800.0,40.45,297
37.116425,6.078681,47000.0,28.07,260
51.10981,33.496258,56200.0,27.61,301
36.855927,6.488335,49100.0,27.82,259
39.512493,-36.809208,53000.0,42.36,286
36.417366,20.805527,48000.0,26.05,296
35.705421,6.023788,54600.0,26.81,258
51.06398,33.492939,55700.0,28.45,298
43.810284,26.667803,47500.0,40.04,295
40.476761,-40.134632,49500.0,39.29,270
38.318611,-34.505852,56000.0,36.61,290
39.034748,-40.450649,46700.0,41.28,264
36.650215,19.775459,47000.0,26.63,288
37.538975,-4.7256,47200.0,67.94,231
56.522163,23.600229,47500.0,27.14,304
37.078705,18.574919,47700.0,23.63,284
39.432114,-36.359821,53800.0,42.09,285
57.02599,21.943193,47800.0,31.64,292
51.349236,33.270061,53000.0,24.66,304
51.145203,33.049648,51000.0,26.37,303
51.225052,33.632504,56700.0,25.27,303
51.290771,38.82563,48600.0,33.15,282
50.735641,39.264065,52700.0,37.05,275
44.538826,-10.603003,48700.0,31.55,311
38.429874,-33.532055,49900.0,39.94,299
37.292961,6.453212,50400.0,27.19,257
52.87373,-6.547064,49500.0,29.12,207
53.030636,-4.587515,47000.0,35.72,200
