# time=2019-03-06T12:45:00Z
lat,lon,pressure,ff,dd
36.498058,19.152351,49500.0,24.37,292
53.567745,-9.962977,52000.0,18.97,326
36.07901,18.505623,46700.0,24.43,291
42.563789,27.13446,55800.0,29.02,292
36.670567,18.858955,49100.0,24.12,291
36.071541,18.98357,47500.0,23.91,294
37.26527,6.664958,47900.0,28.23,260
37.151733,6.869727,47000.0,27.86,263
36.658302,18.59853,52000.0,23.99,285
39.427586,-40.809589,49500.0,40.05,257
37.15847,6.724782,52000.0,27.62,260
53.340652,-9.669017,51400.0,17.08,326
36.585148,18.94256,49900.0,24.2,292
39.426125,-40.448895,52100.0,38.92,261
39.395638,-40.714146,49500.0,39.02,259
37.131092,6.312741,47000.0,26.96,260
53.031662,-27.882845,55700.0,23.4,251
52.741581,-27.887722,55300.0,24.06,248
52.666634,-27.472404,56400.0,25.3,261
53.095749,-27.808252,55400.0,23.7,249
40.339417,-37.968006,49100.0,39.29,274
39.555923,-40.538395,48300.0,41.24,262
39.695759,-41.403305,48500.0,43.55,258
40.211559,-38.214592,56800.0,40.68,274
37.690525,6.322024,49400.0,28.57,254
36.984467,15.625328,47100.0,16.12,267
36.702209,17.951986,49700.0,24.26,282
36.055122,19.253561,46600.0,23.32,295
56.155003,23.959543,50300.0,28.92,294
56.142578,23.968494,50300.0,28.17,298
52.858521,-27.688433,55900.0,23.82,250
46.332787,-4.936346,48900.0,42.62,206
45.673519,-4.333929,55800.0,38.75,210
43.250988,-29.069784,56700.0,39.39,286
43.297176,-29.013788,56900.0,43.0,286
39.254025,-40.455215,48200.0,38.55,262
53.370415,-28.512897,53700.0,22.36,242
51.413792,-24.077074,52600.0,22.37,274
46.259663,-4.757889,49300.0,42.44,207
42.705906,28.852089,49700.0,55.75,279
36.804092,18.153265,48300.0,21.56,280
36.046925,19.199694,47500.0,23.73,296
56.196835,23.868168,49600.0,31.12,290
56.148525,24.043085,50600.0,26.75,301
56.105419,24.236099,52600.0,27.06,304
56.105877,24.234009,52600.0,26.68,303
51.786793,-23.682539,48600.0,17.52,282
51.340256,-24.745827,52500.0,32.3,281
50.713722,-24.511374,54900.0,31.43,271
47.150047,1.562344,48300.0,66.59,208
46.877468,1.617185,48600.0,43.85,222
46.860558,1.651959,47400.0,42.81,224
45.00808,-5.396432,49400.0,45.66,220
38.909325,-20.822496,47000.0,30.48,305
39.256966,-40.51133,48200.0,34.87,258
56.855152,22.160885,56400.0,27.66,297
56.2416,23.895393,48700.0,30.27,294
56.285378,24.321846,52700.0,26.99,300
56.427544,23.379013,49300.0,29.01,296
54.519073,-9.599938,53100.0,16.64,339
56.192749,23.865873,49700.0,31.58,287
54.304039,-9.543705,53400.0,17.02,335
51.432659,-26.077051,56100.0,31.79,274
51.265072,-25.126986,54200.0,30.5,276
47.15004,1.578016,47800.0,69.05,209
45.098305,-5.379127,48100.0,45.98,213
45.421989,-4.244261,57000.0,43.99,209
42.41198,29.057261,49900.0,47.31,280
38.746151,-20.800188,49100.0,30.09,301
36.793503,18.136988,50900.0,24.36,280
36.763931,17.711361,47600.0,22.09,282
53.640018,-6.117826,49200.0,26.08,205
53.442348,-6.12615,48100.0,29.74,199
51.95787,-4.492213,49900.0,35.42,209
52.053085,-4.405311,50900.0,36.25,209
37.177711,15.330516,47300.0,14.15,272
56.721107,23.815443,49100.0,29.44,304
53.228214,-6.1432,46600.0,27.46,203
52.011745,-4.507984,51200.0,37.17,211
51.982044,-4.036385,51000.0,37.52,213
35.751976,19.956337,46600.0,23.94,297
35.682415,19.606621,47800.0,24.14,297
37.108631,6.886856,47600.0,28.5,263
52.772984,-4.354856,47700.0,36.38,206
58.551201,21.841974,46800.0,30.26,280
36.064411,18.766647,47400.0,25.6,289
37.121429,6.50195,46700.0,27.77,262
58.382633,22.024256,46800.0,32.97,288
51.42403,-4.441337,52000.0,37.49,212
51.851978,-4.581779,51600.0,37.52,211
36.246883,21.209032,49500.0,29.98,300
35.957256,20.553755,50000.0,24.9,294
59.925274,20.378386,47100.0,46.67,280
51.174023,38.761345,46700.0,26.34,289
40.511433,-39.524059,50700.0,41.25,261
36.577042,20.707323,48900.0,24.79,294
51.130394,35.377632,56800.0,19.86,301
36.231346,19.379007,47900.0,25.29,291
59.93034,20.41078,46800.0,44.53,285
51.080093,35.618031,56600.0,22.54,301
51.512039,40.296207,47600.0,29.61,284
39.958885,-40.850468,46600.0,42.68,261
51.228802,33.685997,56800.0,23.18,302
52.196846,41.404011,51700.0,30.88,279
51.034676,33.53191,56500.0,25.39,298
51.200382,39.494179,48000.0,31.9,279
44.25449,-10.181778,47000.0,33.18,304
36.97625,15.523789,47400.0,15.38,270
53.223328,-6.31495,49900.0,26.37,200
52.88763,-6.393022,47700.0,27.36,202
50.964039,33.497746,56700.0,25.81,297
51.078575,38.77808,47600.0,28.27,283
36.252644,20.803902,49900.0,30.68,297
37.688671,15.380476,46900.0,13.1,278
57.863312,22.050783,49500.0,31.21,289
57.024048,23.326237,49400.0,30.98,302
51.808266,-4.388618,51200.0,37.79,213
